university,street,suburb,state,postcode,phone,email
University of Melbourne,Parkville Campus,Parkville,VIC,3010,+61 3 9035 5511,info@unimelb.edu.au
Monash University,Wellington Road,Clayton,VIC,3800,+61 3 9905 4000,info@monash.edu
RMIT University,Swanston Street,Melbourne,VIC,3000,+61 3 9925 2000,info@rmit.edu.au
Deakin University,Burwood Highway,Burwood,VIC,3125,+61 3 9244 6100,info@deakin.edu.au
La Trobe University,Kingsbury Drive,Bundoora,VIC,3086,+61 3 9479 1111,info@latrobe.edu.au
University of Sydney,Camperdown Campus,Camperdown,NSW,2006,+61 2 9351 2222,info@sydney.edu.au
University of New South Wales,Kensington Campus,Kensington,NSW,2052,+61 2 9385 1000,enquiries@unsw.edu.au
Macquarie University,Balaclava Rd,Macquarie Park,NSW,2109,+61 2 9850 7111,info@mq.edu.au
University of Technology Sydney,Broadway,Ultimo,NSW,2007,+61 2 9514 2000,info@uts.edu.au
Western Sydney University,Parramatta South Campus,Parramatta,NSW,2150,+61 2 9852 5222,info@westernsydney.edu.au
University of Queensland,St Lucia Campus,St Lucia,QLD,4072,+61 7 3365 1111,info@uq.edu.au
Queensland University of Technology,Gardens Point,Brisbane,QLD,4000,+61 7 3138 2000,enquiries@qut.edu.au
Griffith University,Parklands Dr,Southport,QLD,4215,+61 7 5552 8800,info@griffith.edu.au
Bond University,University Dr,Robina,QLD,4226,+61 7 5595 1111,info@bond.edu.au
University of Southern Queensland,West St,Toowoomba,QLD,4350,+61 7 4631 2100,info@usq.edu.au
University of Western Australia,Stirling Highway,Crawley,WA ,6009,+61 8 6488 6000,info@uwa.edu.au
Curtin University,Kent St,Bentley,WA ,6102,+61 8 9266 9266,info@curtin.edu.au
Murdoch University,South St,Murdoch,WA ,6150,+61 8 9360 6000,info@murdoch.edu.au
Edith Cowan University,Joondalup Campus,Joondalup,WA ,6027,+61 8 6304 0000,info@ecu.edu.au
Notre Dame University Australia,Mouat St,Fremantle,WA ,6160,+61 8 9433 0555,info@nd.edu.au
Charles Darwin University,Ellengowan Dr,Casuarina,NT ,0810,+61 8 8946 6666,info@cdu.edu.au
Batchelor Institute of Indigenous Tertiary Education,Awilla Rd,Batchelor,NT ,0845,+61 8 8939 7111,info@batchelor.edu.au
Australian National University,Acton Campus,Acton,ACT,2601,+61 2 6125 5111,info@anu.edu.au
University of Canberra,University Dr,Bruce,ACT,2617,+61 2 6201 5111,info@canberra.edu.au
University of Tasmania,Churchill Ave,Sandy Bay,TAS,7005,+61 3 6226 2999,info@utas.edu.au
